task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
173	5c/33cb9b	8042331	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_GET_CLUSTERING_TSV (1)	CACHED	0	2022-06-17 22:52:12.930	34s	10.4s	81.0%	538.1 MB	890 MB	63.1 MB	14.8 KB
170	ef/3f11a0	8042328	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_GET_CLUSTERING_TSV (5)	CACHED	0	2022-06-17 22:52:12.246	34.5s	10.4s	77.5%	540.9 MB	890 MB	63.1 MB	149 KB
174	56/77221c	8042329	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_GET_CLUSTERING_TSV (6)	CACHED	0	2022-06-17 22:52:12.366	34.4s	9.2s	89.3%	541.3 MB	890 MB	63.1 MB	174.2 KB
172	8a/328b70	8042326	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_GET_CLUSTERING_TSV (2)	CACHED	0	2022-06-17 22:52:12.009	34.6s	9.7s	82.6%	528.2 MB	879.8 MB	63.1 MB	25 KB
171	52/a1d6e9	8042330	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_GET_CLUSTERING_TSV (3)	CACHED	0	2022-06-17 22:52:12.622	34.2s	9.2s	89.2%	540.9 MB	890 MB	63.1 MB	86.9 KB
169	73/0bbc35	8042327	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_GET_CLUSTERING_TSV (4)	CACHED	0	2022-06-17 22:52:12.138	34.6s	11.7s	67.7%	528.3 MB	879.8 MB	63.1 MB	90.5 KB
175	d3/abbce3	8042344	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_PSEUDO_BULK_CLUSTERS (1)	CACHED	0	2022-06-17 22:56:21.867	14m 5s	13m 49s	611.7%	11.3 GB	14.9 GB	85.3 GB	18.7 GB
178	86/dff077	8042334	SCATACPIPE:SPLIT_BED (3)	CACHED	0	2022-06-17 22:52:47.641	3m 54s	3m 27s	96.9%	12.6 GB	12.6 GB	1.4 GB	4.5 GB
179	4f/145533	8042335	SCATACPIPE:SPLIT_BED (4)	CACHED	0	2022-06-17 22:52:47.744	4m 14s	3m 46s	97.2%	13.6 GB	13.7 GB	1.5 GB	4.8 GB
182	bf/d64d4a	8042333	SCATACPIPE:SPLIT_BED (2)	CACHED	0	2022-06-17 22:52:47.335	2m 9s	1m 52s	96.1%	7.2 GB	7.2 GB	777.9 MB	2.6 GB
181	62/a409e0	8042336	SCATACPIPE:SPLIT_BED (5)	CACHED	0	2022-06-17 22:52:47.847	2m 9s	1m 46s	95.7%	7 GB	7 GB	740.4 MB	2.5 GB
177	f3/310916	8042337	SCATACPIPE:SPLIT_BED (6)	CACHED	0	2022-06-17 22:52:47.965	33.7s	13.1s	87.2%	955.3 MB	992.5 MB	81.4 MB	337.4 MB
180	6a/859fc0	8042332	SCATACPIPE:SPLIT_BED (1)	CACHED	0	2022-06-17 22:52:47.227	34.4s	25.5s	92.0%	1.7 GB	1.7 GB	169 MB	624.7 MB
184	b5/94cb32	8042347	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CALL_PEAKS_CLUSTERS (1)	CACHED	0	2022-06-17 23:10:27.205	14m 50s	14m 45s	600.3%	12.9 GB	17.9 GB	3.6 TB	32.1 GB
